2040;Crude_oil;Liquid_fuels;Gas_fuels;Solid_fuels;Elec_heating;Steel_Iron;NonFerrousMetals;Cement;OthMin;ChemicalPharma;Paper;Auto_industry;OthEquip;Electronics;Food_industry;OthManuf;LandTransp;NavalTransp;AirTransp;AgriForest_Fish;Construction;Property_business;Compo;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10;G;I;X;Tot_uses;Y;M
Crude_oil;0.0;29267.92595157886;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;595.631487061765;26364.811538813152
Liquid_fuels;80.5560017782223;0.0;1018.151314589893;98.16954661278818;1714.9333203341212;1010.2621851891128;643.479786306904;132.46177543103732;237.31538861486789;1681.5837793599749;20.857661364726322;161.91158637716217;178.25833174516268;79.04128577991544;334.27838306304244;650.9301447449229;3647.909566398135;2550.5410464028123;8372.25982354678;3501.4479838106636;771.2422199894919;13.82159197468133;4520.740182005648;430.710784072912;540.919237679047;657.336826636731;748.994995556115;773.47099312534;854.419357485981;894.42152459264;926.606601784215;995.620420042483;1058.32363960879;0;0;20251.231;0;34760.122660240275;22684.822269279015
Gas_fuels;20.978319663761486;920.813029331095;0.0;0.0;5194.890604928375;134.2508039971578;123.68474621836208;661.7070379133698;463.46571898451634;2176.4810695970455;636.2655791365773;236.37932958484757;126.4053952477328;56.04924534008684;2338.8606212575014;457.8728723699874;116.97928734631216;9.37919742614738;5.160038330563241;231.9727563665602;516.977416949945;317.5442315935697;2364.2357355108334;646.904027680527;595.177799790215;596.965665197929;648.199564822687;654.792155527824;677.203882011838;738.338858291864;783.247634330156;896.563665213414;1029.42265752249;0;0;5319.473;0;595.6072680137946;15078.576172146817
Solid_fuels;0.0;14.873856486316813;0.0;2156.0049428694474;2752.6190311948785;2357.1828678193306;0.0;59.64566943197957;161.6509309917431;199.94515379540547;10.577180639091173;19.05037324913076;5.586836154452025;2.477251462898814;345.17043231830706;20.36344827735187;0.0;0.0;0.0;2.5170783015287705;114.3824084799702;0.0;90.98783336882259;2.00916469592318;2.19566307528891;5.35617092280743;2.04889321405701;1.42657516999431;2.72013229206314;0.919190313744442;1.08816962194964;0.769357686531542;2.09103408151159;0;0;33.236;0;1755.127502776325;4430.975658461962
Elec_heating;18.683470670409914;217.0734900009345;689.7657489210129;2.467709268903513;1076.9715981086338;203.06879097667453;737.2319451337573;660.1261221269674;388.5757384589887;3777.429378691078;878.360586272067;644.5052851335224;448.37048476660345;198.8113502171718;2679.2717792690455;1598.058573810715;2831.5717630202694;0.0;0.0;804.149749046634;975.4062306873742;435.73637586699294;15521.005456998928;1526.86843815573;1721.90670199739;1633.45413457448;1726.4332966866;1799.89197660536;1888.8545650946;1975.51423560222;1967.66632114356;2087.07270050794;2486.34348722632;0;0;15695.7245239195;0;65010.56966386982;1230.6519580310335
Steel_Iron;0.0;53.20384374376376;1.2788879258792198;8.553087346529587;22.79270572415276;1032.748471690603;707.2456861070017;17.412221895928248;262.39262537339476;256.23236828313657;16.27073038690683;2333.6626439798206;2441.1186309523328;383.72584467369546;11.152465171550382;5987.812942118527;9.127554084708365;5.475106554752254;0.0;13.686613264562691;4793.246685140797;0.0;1598.8195559351282;0;0;0;0;0;0;0;0;0;0;0;0;21742.4690119677;0;20567.352512110472;20510.095589888395
NonFerrousMetals;0.0;80.85552131998492;1.9435260762558133;12.998298772811184;34.63763151690984;6916.5024232113265;1074.8020577569316;12.667355934261042;413.0176547136779;389.3972241041216;24.728672398904312;3546.4717751982307;3151.458320876328;495.3859184998572;16.941281404290606;7730.19560120427;13.873882208756715;8.322741339578425;0.0;20.805225336073747;1894.1195348096517;0.0;9651.704015661864;7.59975834603551;10.3608375858266;25.6771655614069;16.8984866207508;27.0768301260318;29.2521005814021;30.0135303978351;43.1301767084974;43.6234049243301;47.8609660201087;0;0;13818.2367475517;0;26542.58233437296;21392.890418390503
Cement;0.0;2.586153125921877;1.627496859847694;0.0;29.001215127052326;35.80364725308191;8.055673738482193;997.6871131347356;566.6950523077552;93.00471937001336;16.736305176558066;131.1227980633555;95.21000904801299;73.22895849617038;37.104022689512924;385.23712171170166;15.43386417959778;1.5005847594506176;0.0;41.37447458137917;2578.6423317343138;14.556033864570146;212.58213594234945;10.8393749943222;17.5356526961056;33.3155658908385;25.0854827399046;50.3298758275558;56.6915476571738;53.3233825667367;60.7523113535987;75.0711784183774;68.9466180817418;0;0;469.658757435087;0;5460.773347528147;641.3080141331081
OthMin;0.0;17.73809059352061;11.165670771274204;0.0;198.97785057020636;245.6441179931402;55.26431067839794;411.7554162596563;2624.5085600112907;638.04293980954;114.81739419641883;899.536326677149;389.41314983863185;299.51923609217596;254.5280357700611;1575.6249235299827;105.86856368069617;10.295517828354239;2.003138559198763;283.8792371942917;16309.846311196216;99.87056568191183;4617.72340825609;72.0715785499375;116.595485876508;221.51695987882;166.794704528525;334.646015748272;376.945104931056;354.549999172123;403.94533841619;499.152244771391;458.429722686605;0;0;6165.06728357613;0;27084.01289968051;13002.484671656764
ChemicalPharma;0.0;557.3264266729624;161.57878165658104;3.3308809747689097;2879.448151552122;104.34229276443885;517.9413346400202;42.63608006549551;421.0182721242436;22435.347247250207;925.7577798337526;1523.2057979832975;1273.3566357590964;216.38673110664215;1292.5903364885628;11616.861075320225;46.23521032726819;60.69546694982499;17.693266510543513;6689.332233055015;2737.4637269228624;35.015348129771525;14702.904963688668;1715.20264752578;1959.03583138589;2165.04006982739;2323.18224167915;2350.24424165217;2141.67070603761;2362.56316462404;2904.94495005844;2856.33172715683;3673.81642859692;0;0;105766.780534628;0;109160.46874414713;113865.64437160018
Paper;0.0;25.155900769215886;1.6610891097636717;0.0;29.59931236795993;3.735031216199262;18.53468524409264;27.110555361138235;267.709217105602;1505.5411849192774;3491.7599308597023;201.15190549485058;283.63595320822515;161.75377486792786;1807.7132182613027;3349.9832828636213;36.864254800300934;48.49090403174496;1.7086254825937826;181.88840429679973;587.9307469110827;222.46471756351374;12450.603171427965;298.650745945949;315.746741777002;291.03714680514;370.637849153805;396.573907624321;463.541384686351;484.851160657907;565.680948990463;696.659546367836;1104.46016759924;0;0;9817.10124728568;0;22170.22807863037;17140.936389403316
Auto_indus;0.0;18.680089917613124;1.3246305640626792;0.0;23.60533784495113;6.964105560600606;34.563750715820476;4.490393923672395;44.34194591935693;56.27222163760785;14.565839847660154;40236.488852225564;520.1724417634952;21.930393420646404;71.91868302709469;1189.9291861971958;348.1525720455792;918.8387551584283;862.9885120039036;205.27953429420967;165.83419209438728;15.041234993389153;19827.14390814259;1006.27304585273;2219.47838521586;3800.20619039992;4733.26858470572;5046.82588539865;5507.04159789828;7276.60447578543;8950.38228502875;10694.8275068696;13664.3917044242;163.165899527054;41695.5369636313;137667.476290036;0;161580.7739536112;149477.39580180577
OthEquip;0.0;160.10164896080067;43.79041624109061;4.261449576740917;742.9342890617379;373.6141853234916;482.1566251368186;66.13487993457863;328.0117718267407;674.4916203232108;318.60834771799705;8690.880456333303;8057.884261333383;2115.5139691845275;717.7641550951039;7878.838019727158;292.8783172489695;59.968349624299684;41.43416795289922;1736.567716638314;9074.928290729356;86.93186891340504;12318.184690100747;566.243780087026;638.353914949013;716.676501331792;842.136842731326;900.373689344383;1036.66308798983;1149.57698222404;1339.11636147673;1505.10938655934;2129.18756508073;0;23393.9487049574;42987.3736346336;0;70213.87097936061;60411.02792588775
Electronics;0.0;56.95098496653766;15.905989895942392;1.3449542053774979;347.99507835372873;107.238175998144;138.3930242914206;23.88487654475336;118.46276402191259;163.02024402250933;103.09377758843908;6667.58216296358;3555.0687154269867;3687.182824299584;80.48743925860848;1883.152176113332;22.26016826476755;27.337873310686252;4.739187522773281;0.0;2172.601390886249;39.260858006937816;12892.393979084693;996.311061338922;1123.18951049281;1260.99878756247;1481.74739928545;1584.21572069067;1824.01814106766;2022.69107258784;2356.18742357021;2648.25370150059;3746.32485686698;245.471966791419;11256.6913990385;29708.9673480825;0;31133.437564801825;61938.25303288797
Food_industry;0.0;34.5897980592051;2.1441266041228593;0.0;38.20671179145629;13.43048119040814;66.67231256571144;4.875378444673129;48.14183292918211;2132.8536506512673;273.3079206849316;120.32920236325427;103.55843830745896;18.27844119429515;25732.75988747084;2917.967367801213;20.34614783245901;79.29344794533263;149.28215877593388;5958.563441631099;448.8190019736811;159.30770396223994;33371.238709005855;7402.89338221697;8300.95015023657;9024.54862599867;9797.32770553045;10482.8881615497;11012.031412748;11636.7795650089;12416.2885384996;12679.3403269276;14194.0313197254;0;0;34255.0629562532;0;163525.88228079738;50176.57212631947
OthManuf;0.0;509.666822493507;43.83276391784639;12.134073990444124;826.9084418965585;962.1057860172573;1241.6168792119988;175.73478532880756;871.5987443284885;4763.4244585414735;2154.8907436726754;16886.354259724838;9084.776167180727;2648.745694388158;5086.701504579395;42272.15599282012;861.8513159329659;172.99888272129618;1001.4231471567914;1857.092504998235;21668.066060745823;542.697462584057;45043.95752824254;5471.16807250816;6167.91165115654;6924.68111500749;8136.90568670545;8699.60257041567;10016.4597810469;11107.4578343464;12938.8280540115;14542.688244251;20572.6640244328;2482.73764425083;31197.1806638232;61372.9656535802;0;254786.45615853282;107024.5850709871
