2035;Crude_oil;Liquid_fuels;Gas_fuels;Solid_fuels;Elec_heating;Steel_Iron;NonFerrousMetals;Cement;OthMin;ChemicalPharma;Paper;Auto_indus;OthEquip;Electronics;Food_industry;OthManuf;LandTransp;NavalTransp;AirTransp;AgriForest_Fish;Construction;Property_business;Compo;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10;G;I;X;Tot_uses;Y;M
Crude_oil;0.0;33731.44375531783;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;686.4685265808826;32615.405769406578
Liquid_fuels;92.84122993993034;0.0;1094.6744717804197;105.92741308920324;1585.8064959797816;990.9281646932714;630.5534574463527;142.47010550858187;249.58713315591285;1674.8371062136407;21.829842030632395;156.17630377548488;173.4350069592257;76.90258186026014;324.62292824176814;633.3251685142518;5567.773753113728;2971.7113128439278;8833.212691684257;3412.3147097542333;806.1543790653084;15.803797716004253;5176.601037363178;732.226140421657;919.585068059277;1117.49978250778;1273.32245922672;1314.93266704091;1452.54823321908;1520.55357116774;1575.26953306752;1692.59587744449;1799.19394313694;0;0;20251.231;0.0;40061.230315120134;28809.930879639505
Gas_fuels;24.177627447532725;1061.2420217077288;0.0;0.0;4803.738529959126;136.19843594253214;118.79562174083443;666.7688721385775;452.15095794291176;2138.1100925174524;614.9339812151969;228.72005475940767;122.46518036294535;54.30211998727026;2240.8073302820085;443.6363117961887;152.74050310188858;10.373417448438474;5.915112805454678;219.84183735918288;528.042474524493;345.1565980961278;2586.2852248502386;703.509954080441;647.257535405072;649.201844076935;704.918854375371;712.088315355343;736.461131097678;802.945590175292;851.784010739448;975.015513825139;1119.50004256376;0;0;5319.473;0.0;640.3724693568972;21565.47251607341
Solid_fuels;0.0;17.142200452567415;0.0;2326.3836300120574;2545.359104560376;2483.0112441368387;0.0;70.5335324531743;156.8463913199901;221.73865988352327;11.31865169530943;18.5797441840878;5.350091456573945;2.372276816616291;332.44736835988465;19.500537986643614;0.0;0.0;0.0;2.4106200638316615;117.67331690535111;0.0;101.45923690927958;2.36755909580056;2.58732501907968;6.31160362945181;2.41437437911769;1.68104736581156;3.20534895069704;1.08315529955969;1.28227710324014;0.906595558028593;2.46403232614884;0;0;33.236;0.0;1893.8267763881624;4825.924790230981
Elec_heating;21.53280150823482;250.17837720551123;741.6078003655812;2.6627204477396127;995.8804438726827;199.52953448775975;715.1242592306587;665.5759145381944;378.40508868534073;3702.353661728594;850.0262072365535;629.3917027941584;438.89214906350213;194.6085742027646;2591.6286852763487;1563.6696338008367;2076.704809314072;0.0;0.0;771.2956419863735;1003.4697469692528;445.1949579567172;15857.921795319264;1413.39625094518;1593.9398682051;1512.06082476046;1598.13006023697;1666.12951598705;1748.48067729401;1828.70006643245;1821.43538494686;1931.96784780686;2301.56605218216;0;0;11413.1400984597;0.0;60115.56394693491;1223.560292015517
Steel_Iron;0.0;61.31771912292518;1.3750077662003433;9.228996647172606;21.076516719189343;1012.9841170394616;693.0384172566557;17.455287633820525;254.5938717847359;248.93627261989363;15.71247972313423;2276.010783100295;2377.027116695896;373.65113133013585;10.74138266161841;5831.872057354058;8.9147842445573;5.462965160078766;0.0;13.10774659708466;4931.153694712302;0.0;1542.7425748698208;0;0;0;0;0;0;0;0;0;0;0;0;21086.2072659838;0.0;20173.742201055236;19848.129814944197
NonFerrousMetals;0.0;93.18642783995575;2.0895994047542565;14.025491723979231;32.029572470005945;6784.136982269011;1053.2112554439323;12.69868617078764;400.74206993954743;378.30932206777345;23.88022875484932;3458.8581272168735;3068.7168541815226;482.379572452027;16.316821755772242;7528.877765609408;13.550472051727098;8.304285134871055;0.0;19.92528146510858;1948.6154491606353;0.0;9313.180245843665;7.26170371158204;9.89996383126367;24.5349865048595;16.1468032832965;25.8723907881429;27.950900238078;28.6784599146281;41.2116477951786;41.6829360917911;45.7320007772918;0;0;13355.4896337758;0.0;26009.39053218648;20700.299139195253
Cement;0.0;2.9805555355714324;1.7498177725141755;0.0;26.81755307595655;35.11845042005645;7.893850025985243;1000.1546977985176;549.8519147898039;90.35645391392211;16.162080587265336;127.8834809617239;92.71027242117171;71.30633385272552;35.736359617613154;375.2043738312066;15.07408972261507;1.4972571179475134;0.0;39.624567299232936;2652.832724193434;14.059316585814152;205.12603223895854;10.1717284248386;16.4555518256823;31.2635081578904;23.5403533847609;47.2298291037913;53.1996565350514;50.0389521025639;57.0102992648318;70.4472019654568;64.6998812483096;0;0;454.992809217543;0.0;5474.2795062640735;635.928307366554
OthMin;0.0;20.44324583067341;12.004870571268617;0.0;183.99570656709307;240.94307257979216;54.15415202340651;412.7738130465999;2546.5037169951147;619.8749684587732;110.87799596421839;877.3137730893568;379.1891164270357;291.6553653459232;245.14607203532336;1534.5908519904528;103.40069143778037;10.272686867153405;2.05336297899459;271.8727440740146;16779.098632033492;96.46253324155819;4455.761423760505;67.7165171244402;109.549983153461;208.131378676471;156.715819088739;314.424397411276;354.167484140111;333.125644997131;379.536177457868;468.990026454665;430.72823977555;0;0;5971.18636478806;0.0;26279.030129840256;12510.393885828382
ChemicalPharma;0.0;642.3217362847386;173.72286901391135;3.594104456415532;2662.638558261079;102.34542892407535;507.536843054582;42.741532101417704;408.5048954394092;21796.511331043344;893.9949220642749;1485.5758307801293;1239.9246861850422;210.70550239215942;1244.945150275113;11314.32263402576;45.15743437333934;60.5608709174446;18.13688736777489;6406.411149325128;2816.2235866147716;33.820467120319606;14187.215422493668;1741.24858296662;1988.78445663676;2197.91693948875;2358.46055399481;2385.93349963959;2174.1927039633;2398.43948964572;2949.05752692365;2899.70609570182;3729.60458031108;0;0;102816.253462314;0.0;106052.17597207356;110150.7279858001
