2030;Crude_oil;Liquid_fuels;Gas_fuels;Solid_fuels;Elec_heating;Steel_Iron;NonFerrousMetals;Cement;OthMin;ChemicalPharma;Paper;Auto_indus;OthEquip;Electronics;Food_industry;OthManuf;LandTransp;NavalTransp;AirTransp;AgriForest_Fish;Construction;Property_business;Compo;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10;G;I;X;Tot_uses;Y;M
Crude_oil;0.0;38194.961559056785;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;777.3055661;38866
Liquid_fuels;105.12645810163838;0.0;1171.1976289709464;113.68527956561832;1456.679671625442;971.5941441974301;617.6271285858014;152.47843558612638;261.85887769695785;1668.0904330673065;22.802022696538472;150.44102117380757;168.6116821732887;74.76387794060483;314.9674734204939;615.7201922835808;7487.637939829321;3392.8815792850432;9294.165559821737;3323.181435697802;841.0665381411247;17.786003457327176;5832.461892720707;1033.74148747939;1298.25088677115;1577.66272419919;1797.6499067405;1856.39432427166;2050.6770905212;2146.68559844896;2223.93244436268;2389.57131336963;2540.06422383563;0;0;20251.231;0;45362.33797;34935.03949
Gas_fuels;27.37693523130396;1201.6710140843625;0.0;0.0;4412.586454989878;138.1460678879065;113.90649726330678;671.8307063637852;440.83619690130723;2099.7391154378597;593.6023832938165;221.06077993396775;118.52496547815788;52.554994634453685;2142.754039306516;429.39975122239;188.501718857465;11.367637470729568;6.670187280346114;207.71091835180553;539.1075320990408;372.768964598686;2808.3347141896434;760.115881103507;699.337271593252;701.438023530988;761.638144552454;769.384475813611;795.718380835857;867.55232276995;920.320387903229;1053.46736330051;1209.57742859664;0;0;5319.473;0;685.1376707;28052.36886
Solid_fuels;0.0;19.410544418818017;0.0;2496.762317154667;2338.099177925874;2608.839620454347;0.0;81.42139547436905;152.04185164823707;243.5321659716411;12.060122751527691;18.109115119044834;5.113346758695864;2.267302170333768;319.7243044014623;18.63762769593536;0.0;0.0;0.0;2.304161826134553;120.96422533073205;0.0;111.93064044973654;2.72595349762628;2.97898696499966;7.26703634129021;2.77985554616523;1.9355195630122;3.69056561196872;1.2471202862663;1.47638458558586;1.04383343027171;2.83703057281383;0;0;33.236;0;2032.52605;5220.873922
Elec_heating;24.382132346059713;283.28326441008795;793.4498518101495;2.857731626575713;914.7892896367317;195.99027799884496;693.01657332756;671.0257069494213;368.23443891169273;3627.27794476611;821.6918282010399;614.2781204547945;429.4138133604008;190.40579818835744;2503.9855912836524;1529.2806937909584;1321.8378556078742;0.0;0.0;738.441534926113;1031.5332632511313;454.6535400464414;16194.838133639601;1299.92406048838;1465.97303075191;1390.66751147358;1469.82682011682;1532.36705154203;1608.10678547758;1681.88589306259;1675.20444456675;1776.8629906685;2116.78861185185;0;0;7130.5557;0;55220.55823;1216.468626
Steel_Iron;0.0;69.43159450208661;1.4711276065214665;9.904905947815623;19.360327714225928;993.2197623883199;678.8311484063098;17.4983533717128;246.795118196077;241.6401769566507;15.15422905936163;2218.35892222077;2312.935602439459;363.57641798657625;10.330300151686435;5675.931172589589;8.702014404406237;5.450823765405278;0.0;12.52887992960663;5069.060704283807;0.0;1486.6655938045135;0;0;0;0;0;0;0;0;0;0;0;85.467921;20213.579;0;19780.13189;19186.16404
NonFerrousMetals;0.0;105.51733435992661;2.2356727332527;15.052684675147278;29.421513423102038;6651.771541326695;1031.6204531309331;12.730016407314238;388.46648516541694;367.22142003142517;23.03178511079433;3371.2444792355163;2985.975387486717;469.3732264041967;15.692362107253881;7327.559930014546;13.227061894697481;8.285828930163683;0.0;19.04533759414341;2003.111363511619;0.0;8974.656476025464;6.9236491068264;9.43909011718813;23.3928075486517;15.3951200118769;24.6679515560631;26.6497000090632;27.3433895487059;39.2931190504011;39.7424674297207;43.6030357215027;0;146.7221;12510.74;0;25476.19873;20007.70786
Cement;0.0;3.3749579452209875;1.8721386851806572;0.0;24.63389102486077;34.43325358703099;7.732026313488293;1002.6222824622996;533.0087772718528;87.70818845783086;15.587855997972603;124.6441638600923;90.21053579433041;69.38370920928067;34.36869654571338;365.1716259507116;14.714315265632363;1.4939294764444093;0.0;37.87466001708671;2727.0231166525537;13.562599307058157;197.66992853556764;9.50408183376697;15.3754509203346;29.21145035859;21.9952239796562;44.1297822797883;49.7077653000206;46.7545215321908;53.2682870550689;65.8232253630223;60.4531442775614;0;0;432.10737;0;5487.785665;630.5486006
OthMin;0.0;23.148401067826207;12.84407037126303;0.0;169.01356256397972;236.24202716644413;53.04399336841507;413.79220983354355;2468.4988739789383;601.7069971080064;106.93859773201791;855.0912195015648;368.96508301543946;283.79149459967033;235.76410830058558;1493.5567804509228;100.93281919486458;10.24985590595257;2.1035873987904177;259.8662509537375;17248.350952870773;93.05450080120457;4293.799439264921;63.3614557948898;102.504480585634;194.745797769021;146.636933871001;294.202779519785;331.389863850983;311.701291294142;355.127017037307;438.827808802447;403.02675747479;0;0;5664.8235;0;25474.04736;12018.3031
ChemicalPharma;0.0;727.3170458965147;185.86695637124166;3.857327938062154;2445.8289649700364;100.34856508371188;497.1323514691438;42.8469841373399;395.99151875457494;21157.67541483648;862.2320642947972;1447.9458635769613;1206.492736610988;205.02427367767672;1197.299964061663;11011.784192731297;44.0796584194105;60.426274885064224;18.58050822500627;6123.490065595241;2894.983446306681;32.62558611086768;13671.525881298665;1767.29452191473;2018.53308589351;2230.79381357724;2393.73887106096;2421.62276243284;2206.71470626832;2434.31581949842;2993.17010972894;2943.0804700875;3785.39273953754;0;0;98188.166;0;102943.8832;106435.8116
