2040;Crude_oil;Liquid_fuels;Gas_fuels;Solid_fuels;Elec_heating;Steel_Iron;NonFerrousMetals;Cement;OthMin;ChemicalPharma;Paper;Auto_indus;OthEquip;Electronics;Food_industry;OthManuf;LandTransp;NavalTransp;AirTransp;AgriForest_Fish;Construction;Property_business;Compo;C;G;I;X;Tot_uses;Y;M
Crude_oil;0.0;32720.87511182027;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;665.9024466940211;38903.8932229031
Liquid_fuels;90.05977663239888;0.0;1338.4895804230694;178.36269334128627;1458.744641322209;1030.8471956048645;655.4307824859098;185.23234622546124;344.513945871273;2055.554263421552;30.492047318871755;218.91387126554656;228.68482344850997;101.40082826290498;420.14632226155004;832.025007678103;6049.74642140918;3810.570399509653;10192.163052263752;3462.3513377795616;807.3045821138007;14.440992689278788;4705.515216783392;17171.6802999229;0.0;0.0;20251.231;0;38861.0260364527;33473.704222969514
Gas_fuels;23.453283943297436;1029.4480102186503;0.0;0.0;4418.841678764471;185.01962661863698;170.42452487848254;815.0744519748082;568.5096644437743;2581.704908569211;799.2155245347049;323.56879980086984;152.0413608037274;67.41645415393475;2847.2117287639585;552.7668687258131;852.2478581193224;9.63242419371649;5.66323732660926;204.48204978500857;533.8311875008905;545.4971298757575;3993.0671609398264;7595.484267943661;0.0;0.0;5319.473;0;783.0016136470139;28438.621536140843
Solid_fuels;0.0;16.62863304099811;0.0;3917.2112099499777;2341.413636172597;3332.0569841606657;0.0;93.97592251444891;161.17065547643938;284.49218425442433;14.373869429567387;18.913980540047344;6.294216830937354;2.7909101719077074;342.3893799719769;22.94177873483779;0.0;0.0;0.0;2.470930136706213;119.64375072109992;0.0;142.82530681512665;22.593280719098747;0.0;0.0;33.236;0;3188.8633425935723;5340.268311204304
Elec_heating;20.887694996674707;242.68322149504345;906.7849293455656;4.483541859686563;916.0860827469966;189.10672442174987;760.0427247618013;568.5437007815609;337.23808408784913;3133.3237790410744;765.9247452018681;626.408492529764;411.5370111548808;182.4790695012655;2391.229371172603;1481.9931835743523;1386.3014180197392;0.0;0.0;829.3074767138928;1020.2727977755752;414.7865813375783;14774.770133939033;18834.09236685125;0.0;0.0;3884.696698247659;0;55298.83815424249;1150.21350831687
Steel_Iron;0.0;59.480686451394504;1.6812610648228683;15.539968841126997;19.387772656877416;1053.7916606352862;720.3809712739111;17.77369663647345;261.6130396785277;260.1983429833721;16.200763689762773;2316.954594959642;2453.2410599477184;385.63140110457505;11.062609301728646;6019.330274658202;8.84607442420229;5.671680319288924;0.0;13.435682618340035;5013.725617100884;0.0;1582.3293727000362;0.0;0.0;0.0;22333.090278596595;0;20986.431016575112;20748.23920592363
NonFerrousMetals;0.0;90.39463266339263;2.555012565491571;23.616403028913737;29.4632209685804;7057.43244762447;1094.7637652709486;12.930328071137007;411.7905521802735;395.42432969381196;24.62233522218476;3521.0805197733935;3167.1082484309904;497.8459712585327;16.80478480438545;7770.88410428795;13.446033124787483;8.621554263130728;0.0;20.423781911212295;1981.2449175557938;0.0;9552.156591965231;266.9123690123951;0.0;0.0;14117.591523766041;0;27035.543118548623;21536.946708905165
Cement;0.0;2.891260337112081;2.1395519092904656;0.0;24.668811700607574;36.53317911365396;8.205287336479508;1018.3989265104888;565.0113641495899;94.44425008385505;16.664336434666733;130.1840136407839;95.68281547360006;73.59260852059772;36.80507405516466;387.26484812683566;14.957907662742056;1.5544605319532603;0.0;40.61591412210838;2697.254275695039;14.37735850533303;210.38956933207538;407.351220073308;0.0;0.0;482.4386800470954;0;5574.138065757213;651.5010996713504
OthMin;0.0;19.830781586401812;14.678696350556477;1.2991429257726212;169.25315393869;250.64934020336318;56.290704327130086;420.30338808945163;2616.7109729924887;647.9185935917052;114.32366136110154;893.0960225996402;391.3469490399213;301.00662823536857;252.47729293461342;1583.918351389659;102.60374080629299;10.665159711509435;2.407239316923231;278.67458948039763;17060.063800789092;98.64465418936828;4570.096329360011;2707.776820858452;0.0;0.0;6322.031309073901;0;27003.544521477656;12856.972929070467
ChemicalPharma;0.0;623.0782609554643;212.41588805677785;6.051824851574081;2449.2961395277084;106.46836183328885;527.5607741981104;43.52119777601259;419.76739923191803;22782.602436630776;921.7768759240852;1512.300281195694;1279.680038156288;217.4612928875092;1282.175883072054;11678.007353121038;44.80938790150469;62.87462753954578;21.26259643567433;6566.689879713692;2863.381109948957;34.58553462671779;14551.259585047073;26660.93980509136;0.0;0.0;108011.95472914583;0;110850.05878386744;113188.0989242908
