current_year;2030;2040;2050
Crude_oil;0.09992850467445495;0.12621702884700095;0.14863637931053808
Liquid_fuels;0.015354083783978886;0.019393333685870078;0.022838082374154325
Gas_fuels;0.7459058693524198;0.764333573234006;0.8120276302515892
Solid_fuels;0.006218708021924238;0.005805720294880232;0.005158430114782894
Elec_heating;0.14533444152751632;0.16146286275456387;0.17162779067445097
Steel_Iron;0.05770460641938476;0.059023130877335905;0.058979246198478504
NonFerrousMetals;0.04889628005421992;0.04995919178305376;0.05008530516358742
Cement;0.09128471511039707;0.096525223755046;0.10090092524396481
OthMin;0.04709430687042281;0.048316289605277264;0.047969097624851735
ChemicalPharma;0.05203510758626415;0.052036965563354555;0.050651310831893545
Paper;0.07419536118836557;0.07456646120501854;0.07326345720245377
Auto_indus;0.06774340838163234;0.07212474596449052;0.07505516837289715
OthEquip;0.02961837866448519;0.030405121797944343;0.030142008254207733
Electronics;0.1852046080560592;0.19012413641119547;0.18847887954909687
Food_industry;0.046942741244143514;0.04788396335776817;0.046924996952266096
OthManuf;0.042576991610786416;0.04371988993362404;0.04336844407754981
LandTransp;0.1473384083550521;0.1688669853196625;0.17189182445162365
NavalTransp;0.11452516329983255;0.11708298747050094;0.11824687331460974
AirTransp;0.12978876996842606;0.1307777410921738;0.12592777028651084
AgriForest_Fish;0.16894830803982816;0.16502834392625196;0.1597331437298797
Construction;0.037849540891137304;0.04040356703596642;0.042975735005905055
Property_business;0.2504621640018083;0.26006619683444837;0.2579929942049601
Compo;0.11219858128947874;0.1155319236039484;0.11409198707314637
