current_year;2030;2040;2050
Crude_oil;0.08411460016623726;0.08660637796892466;0.08985806125513356
Liquid_fuels;0.012924266430441665;0.013307129811397487;0.013806753194916182
Gas_fuels;0.6198288;0.6198288;0.6198288
Solid_fuels;0.0074571782710820345;0.007745388181566748;0.007168210690060781
Elec_heating;0.18371227683195498;0.34441164214529685;0.5163359943244137
Steel_Iron;0.058799773609163074;0.06267447679921503;0.06276911256691098
NonFerrousMetals;0.04997722351064781;0.05343638986627537;0.053751959879032786
Cement;0.09199590908261449;0.10372527370114035;0.10612840964153919
OthMin;0.047800509475417426;0.051167777322195504;0.05077322545821945
ChemicalPharma;0.05380075156214454;0.056822451567353924;0.05551433180206276
Paper;0.07577684456107919;0.0797965617281428;0.07858050534456264
Auto_indus;0.06894165327695843;0.07521089785450424;0.08096400945331812
OthEquip;0.030316049819039372;0.03275553337774258;0.032596927282216755
Electronics;0.18956716666181303;0.204821330350745;0.20382956168947172
Food_industry;0.048136579376432495;0.05179880251985536;0.05080395463571477
OthManuf;0.04357872794076713;0.04706904546894916;0.046861494086815975
LandTransp;0.15607682078943677;0.2098575538539753;0.22755333503625827
NavalTransp;0.11323277421130684;0.11975825706065314;0.11555199192004856
AirTransp;0.13316764858062147;0.14138086304430952;0.1371766675392019
AgriForest_Fish;0.16661594283655798;0.16480234435363997;0.15891024237624748
Construction;0.03709531492443001;0.04185770536738638;0.04265198096738953
Property_business;0.24978103794257878;0.26286584415063147;0.26014820491972696
Compo;0.11203669085869437;0.11667670226997054;0.11500548003092809
