current_year;2030;2040;2050
Crude_oil;0.0001367;0.0001367;0.0001367
Liquid_fuels;0.0001523;0.0001523;0.0001523
Gas_fuels;0.0146772;0.0146772;0.0146772
Solid_fuels;9.259999468261841e-06;8.813711337228352e-06;7.705334958511843e-06
Elec_heating;0.0023927;0.0023927;0.0023927
Steel_Iron;0.0019449710076014238;0.0018610472256926445;0.0016582721899445153
NonFerrousMetals;0.001435460461101267;0.0013601185362744359;0.0012195395431601282
Cement;0.000937536607456762;0.000901242246447586;0.0008254679826795354
OthMin;0.003683227899810075;0.0034706277562035095;0.0030478847087587026
ChemicalPharma;0.0015405561760888525;0.001444007124715571;0.0012551986827402059
Paper;0.0026695157215565705;0.002508925067445673;0.0021949436009227855
Auto_indus;0.0012192620916183;0.0011907663586856413;0.0011246649920333938
OthEquip;0.0034031192286694415;0.003190285174333093;0.0028055649347727618
Electronics;0.0029636366254758894;0.0027782881976964884;0.0024432511578779802
Food_industry;0.0038719453840558326;0.003610855120019998;0.0031293665206037075
OthManuf;0.004510257765402258;0.0042305763018557945;0.003724426901247585
LandTransp;0.00796719903025195;0.007573959114437496;0.006795061030219617
NavalTransp;0.0004350210281841281;0.0004130137152880428;0.0003701955461997302
AirTransp;0.002257295878082618;0.0020707639297661874;0.001742783237981104
AgriForest_Fish;0.009095316612419701;0.008449658408687815;0.00736688188858317
Construction;0.005181529289923661;0.005006212261922879;0.00470570994906323
Property_business;0.0010224003023854664;0.0009535985828754135;0.0008354900524605376
Compo;0.007664064418056481;0.007160861303910502;0.006259226480480091
