Sector;2030;2050
Crude_oil;0.000137743961879101;0.000111603743534554
Liquid_fuels;0.00015346309725082;0.000124339796198336
Gas_fuels;0.016251998258236;0.0157173982469419
Solid_fuels;9.60397332142542E-06;7.70963842899611E-06
Elec_heating;0.00238345021920897;0.00211101834181738
Steel_Iron;0.00194794138236213;0.0016484755535792
NonFerrousMetals;0.00144075581766503;0.00122505209055881
Cement;0.000941115029445795;0.000832665502353123
OthMin;0.00369772211926083;0.00307009900254257
ChemicalPharma;0.00153151882645725;0.00125259949994242
Paper;0.00267999056834359;0.00220861024111734
Auto_indus;0.00125870223900268;0.00115094157959361
OthEquip;0.00341981424419104;0.00281642878809444
Electronics;0.00297817562811966;0.00245271204109556
Food_industry;0.00388881573600382;0.00314402727573873
OthManuf;0.00452766590325354;0.00372881322851305
LandTransp;0.00790890617168065;0.00668892488259264
NavalTransp;0.000437793009245554;0.000375745353348573
AirTransp;0.00225669322858179;0.00174277094680247
AgriForest_Fish;0.00913713390095431;0.00740937627574902
Construction;0.00522016048461455;0.00471948911249613
Property_business;0.00102603564192043;0.000838251994200833
Compo;0.00770588235123492;0.00629298427442162
